worker_id,total_tasks,avg_accuracy,days_sla_met,total_days,sla_pct,performance_segment
W_048,467,0.9433743717582229,6,30,20.0,Top Performer
W_047,474,0.9408527605429773,5,30,16.67,Top Performer
W_044,427,0.9389118342597947,4,30,13.33,Top Performer
W_023,466,0.9390446739834241,3,30,10.0,Top Performer
W_006,465,0.9396596933851409,3,30,10.0,Top Performer
W_014,464,0.9451983196925828,3,30,10.0,Top Performer
W_043,462,0.9381650537864269,3,30,10.0,Top Performer
W_001,451,0.9382307447182447,3,30,10.0,Top Performer
W_039,437,0.9437029031073596,3,30,10.0,Top Performer
W_030,436,0.9379888207577023,3,30,10.0,Top Performer
W_003,416,0.940420851018015,3,30,10.0,Top Performer
W_022,414,0.9392878572410849,3,30,10.0,Top Performer
W_002,467,0.9416136498547033,2,30,6.67,Top Performer
W_018,462,0.9429804593042037,2,30,6.67,Top Performer
W_004,460,0.9397478428742229,2,30,6.67,Top Performer
W_033,454,0.9348342267602252,2,30,6.67,Top Performer
W_012,452,0.9405636628186628,2,30,6.67,Top Performer
W_032,449,0.9389099151089957,2,30,6.67,Top Performer
W_042,445,0.938341809324846,2,30,6.67,Top Performer
W_049,445,0.9408280281591798,2,30,6.67,Top Performer
W_026,444,0.9436531297440662,2,30,6.67,Top Performer
W_015,440,0.9428553526480113,2,30,6.67,Top Performer
W_027,412,0.9424348640063926,2,30,6.67,Top Performer
W_045,488,0.9392638717018761,1,30,3.33,Low Performer
W_024,473,0.9421402025703342,1,30,3.33,Low Performer
W_046,468,0.9367870220235149,1,30,3.33,Low Performer
W_029,463,0.9428403042590078,1,30,3.33,Low Performer
W_040,461,0.9421223805838125,1,30,3.33,Low Performer
W_041,457,0.9374214188973184,1,30,3.33,Low Performer
W_007,454,0.9365224560738116,1,30,3.33,Low Performer
W_036,448,0.9381038500075041,1,30,3.33,Low Performer
W_037,444,0.9388626138401216,1,30,3.33,Low Performer
W_019,439,0.9363597349653271,1,30,3.33,Low Performer
W_020,436,0.9408755977889811,1,30,3.33,Low Performer
W_025,435,0.9396519899204109,1,30,3.33,Low Performer
W_008,434,0.9411472508025743,1,30,3.33,Low Performer
W_035,432,0.9383125869430706,1,30,3.33,Low Performer
W_010,431,0.9407580508100107,1,30,3.33,Low Performer
W_013,419,0.940709609393289,1,30,3.33,Low Performer
W_021,413,0.9413681243756244,1,30,3.33,Low Performer
W_034,464,0.9401808577165582,0,30,0.0,Low Performer
W_017,451,0.9344325664396326,0,30,0.0,Low Performer
W_011,450,0.9370509827808358,0,30,0.0,Low Performer
W_005,440,0.9384879778370064,0,30,0.0,Low Performer
W_050,434,0.9372439306274793,0,30,0.0,Low Performer
W_009,429,0.9393262712969291,0,30,0.0,Low Performer
W_038,428,0.9362015999762665,0,30,0.0,Low Performer
W_028,421,0.939713929501298,0,30,0.0,Low Performer
W_016,415,0.9411435625272273,0,30,0.0,Low Performer
W_031,413,0.9375293620785533,0,30,0.0,Low Performer
