task_id,worker_id,task_date,task_complexity,time_taken_minutes,accuracy
77016b53-3aa3-497a-b042-4246e5a9583e,W_001,2024-01-01,Low,5.28,0.99
7f65a185-9675-4d6d-974c-c0b27805270a,W_001,2024-01-01,Medium,7.3,0.946
a78aa64d-4a37-4105-baab-125b5d293c4e,W_001,2024-01-01,Low,4.43,0.952
2d08d6c7-c351-40f4-af67-5a62f3a250ce,W_001,2024-01-01,Medium,5.41,0.913
c236a814-63f0-4035-8e30-b4642282a1d8,W_001,2024-01-01,Medium,7.36,0.908
9ebd32e8-6a0c-49ec-9b5b-e937ed1b57ce,W_001,2024-01-01,Low,6.47,0.965
4d8c5605-1ecc-4371-8eb9-0471ce41ed13,W_001,2024-01-01,Low,7.56,0.978
9e5ed70d-100e-40f0-bf7b-4f09a723ece3,W_001,2024-01-01,Low,3.85,0.978
f8b6f759-2599-48cb-bea8-b9f2d53f34d6,W_001,2024-01-01,Low,4.4,0.989
a0201736-e69c-482b-8575-0cc497af9c5b,W_001,2024-01-01,Low,4.4,1.0
58b495ee-2c78-4e1f-b0f5-b7056f55cfd8,W_001,2024-01-01,Low,4.47,0.97
ba81f2ee-40e3-4dab-b742-884bc4b625c5,W_001,2024-01-01,High,13.65,0.831
b3ee7bf6-f7ac-414c-bb64-4a2f85f29318,W_001,2024-01-01,Low,7.78,0.994
922f2021-fffc-4eb3-b3d6-52eb13c70ca9,W_001,2024-01-01,Low,5.74,0.973
8406ef17-65f7-4f63-b102-85e6254f6ecf,W_001,2024-01-01,Low,3.99,0.938
f9e881e9-e007-4e5c-82d2-3a77a5c72eef,W_001,2024-01-01,Low,4.54,0.991
9dc771f8-361b-428e-be10-298a926eb7e3,W_001,2024-01-01,Low,3.87,0.973
4a2aa78f-c3a8-43ff-a8c7-6cd76145c01e,W_001,2024-01-01,High,10.65,0.904
38d483ce-0dc6-4bb9-824f-4a72581c340f,W_001,2024-01-02,Medium,7.69,0.911
62a651d9-4362-4b28-a6d8-353de92133b5,W_001,2024-01-02,Low,5.33,0.99
b060fbc9-8610-4bf0-aa7c-e419e85a087b,W_001,2024-01-02,Low,4.82,0.962
e6c34289-442b-47d6-99d0-f384d581ff17,W_001,2024-01-02,Low,5.81,0.997
4c3f47f8-36d6-4499-abac-b01efb6857e4,W_001,2024-01-02,High,9.92,0.877
59ae8a9f-94c3-409d-822b-5857d881e5a5,W_001,2024-01-02,Medium,8.54,0.976
7385eb11-e137-4ea9-842b-9366e35a556a,W_001,2024-01-02,Medium,13.06,0.902
86737f7b-6467-4f68-be84-61d4b4818847,W_001,2024-01-02,Low,5.09,0.964
921e0af1-59f6-4c02-8aed-87db2700e4b3,W_001,2024-01-02,Low,5.9,0.97
d9e69171-80c0-41cc-96e2-2ec006fbcaf2,W_001,2024-01-02,Low,6.48,0.96
